Gene,gene.description
AT1G14130,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:TAIR;Acc:AT1G14130]
AT4G35030,Protein kinase superfamily protein [Source:TAIR;Acc:AT4G35030]
AT4G14020,Rapid alkalinization factor (RALF) family protein [Source:TAIR;Acc:AT4G14020]
AT1G70440,Probable inactive poly [ADP-ribose] polymerase SRO3 [Source:UniProtKB/Swiss-Prot;Acc:O64592]
AT3G14720,Mitogen-activated protein kinase 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUC3]
AT2G18280,Tubby-like F-box protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8GVE5]
AT5G01210,HXXXD-type acyl-transferase family protein [Source:TAIR;Acc:AT5G01210]
AT5G52450,MATE efflux family protein [Source:TAIR;Acc:AT5G52450]
AT1G80790,Factor of DNA methylation 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAI1]
AT4G28240,Wound-responsive family protein [Source:TAIR;Acc:AT4G28240]
AT5G01215,other RNA [Source:TAIR;Acc:AT5G01215]
AT3G16920,chitinase-like protein 2 [Source:TAIR;Acc:AT3G16920]
AT4G33550,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT4G33550]
AT5G12940,Leucine-rich repeat (LRR) family protein [Source:TAIR;Acc:AT5G12940]
AT5G58375,Methyltransferase-related protein [Source:TAIR;Acc:AT5G58375]
AT2G27550,Protein CENTRORADIALIS-like [Source:UniProtKB/Swiss-Prot;Acc:Q9ZNV5]
AT5G04330,Cytochrome P450 84A4 [Source:UniProtKB/Swiss-Prot;Acc:F4JW83]
AT3G61430,Aquaporin PIP1-1 [Source:UniProtKB/Swiss-Prot;Acc:P61837]
AT5G02410,DIE2/ALG10 family [Source:TAIR;Acc:AT5G02410]
AT4G17060,FRIGIDA interacting protein 2 [Source:TAIR;Acc:AT4G17060]
AT2G22560,Protein NETWORKED 2D [Source:UniProtKB/Swiss-Prot;Acc:F4IJK1]
AT5G62360,Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:TAIR;Acc:AT5G62360]
AT4G36380,3-epi-6-deoxocathasterone 23-monooxygenase [Source:UniProtKB/Swiss-Prot;Acc:Q9M066]
AT3G13650,Dirigent protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9LID5]
AT3G25910,Protein of unknown function (DUF1644) [Source:TAIR;Acc:AT3G25910]
AT5G57500,Galactosyltransferase family protein [Source:TAIR;Acc:AT5G57500]
AT4G28250,Expansin-B3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0I2]
AT2G21560,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G39190.1); Has 3685 Blast hits to 2305 proteins in 270 species: Archae - 0; Bacteria - 156; Metazoa - 1145; Fungi - 322; Plants - 177; Viruses - 6; Other Eukaryote /.../79 (source: NCBI BLink). [Source:TAIR;Acc:AT2G21560]
AT2G43670,Carbohydrate-binding X8 domain superfamily protein [Source:TAIR;Acc:AT2G43670]
AT1G70140,Formin-like protein 8 [Source:UniProtKB/Swiss-Prot;Acc:O04532]
AT5G46600,Aluminum-activated malate transporter 13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS23]
AT1G14240,Probable apyrase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9XI62]
AT3G17240,"Dihydrolipoyl dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K2]"
AT1G61840,Cysteine/Histidine-rich C1 domain family protein [Source:TAIR;Acc:AT1G61840]
AT5G15960,Stress-induced protein KIN1 [Source:UniProtKB/Swiss-Prot;Acc:P18612]
AT5G28630,glycine-rich protein [Source:TAIR;Acc:AT5G28630]
AT4G19810,Glycosyl hydrolase family protein with chitinase insertion domain [Source:TAIR;Acc:AT4G19810]
AT3G22120,cell wall-plasma membrane linker protein [Source:TAIR;Acc:AT3G22120]
AT1G47710,Serpin-ZX [Source:UniProtKB/Swiss-Prot;Acc:Q9S7T8]
AT4G34090,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein /.../ is: unknown protein (TAIR:AT2G23370.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT4G34090]"
AT5G06090,Glycerol-3-phosphate acyltransferase 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9LHS7]
AT1G22880,Endoglucanase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4L8]
AT3G25717,ROTUNDIFOLIA like 16 [Source:TAIR;Acc:AT3G25717]
AT2G46740,L-gulonolactone oxidase 5 [Source:UniProtKB/Swiss-Prot;Acc:O81030]
AT5G25280,serine-rich protein-related [Source:TAIR;Acc:AT5G25280]
AT1G16530,LOB domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SA51]
AT2G18196,Heavy metal transport/detoxification superfamily protein [Source:TAIR;Acc:AT2G18196]
AT3G45330,Putative L-type lectin-domain containing receptor kinase I.1 [Source:UniProtKB/Swiss-Prot;Acc:Q9M3E5]
AT3G47960,Protein NRT1/ PTR FAMILY 2.10 [Source:UniProtKB/Swiss-Prot;Acc:Q944G5]
AT5G59680,Probable LRR receptor-like serine/threonine-protein kinase At5g59680 [Source:UniProtKB/Swiss-Prot;Acc:Q9FN93]
AT3G62920,unknown protein; Has 25 Blast hits to 25 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G62920]
AT4G21400,cysteine-rich RLK (RECEPTOR-like protein kinase) 28 [Source:TAIR;Acc:AT4G21400]
AT5G16720,Myosin-binding protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q0WNW4]
AT1G75450,Cytokinin dehydrogenase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q67YU0]
AT3G16690,Bidirectional sugar transporter SWEET16 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUR4]
AT3G30775,"Proline dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P92983]"
AT4G11820,Hydroxymethylglutaryl-CoA synthase [Source:UniProtKB/Swiss-Prot;Acc:P54873]
AT1G12020,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G62422.1); Has 89 Blast hits to 88 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 87; Viruses - 0; Other Eukaryotes - 2 (source /.../ BLink). [Source:TAIR;Acc:AT1G12020]
AT4G10280,RmlC-like cupins superfamily protein [Source:TAIR;Acc:AT4G10280]
AT5G63160,BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7]
AT5G67550,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: flower; EXPRESSED DURING: 4 anthesis; BEST Arabidopsis thaliana protein match is: unknown protein (TAI /.../71110.1); Has 161 Blast hits to 154 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 161; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G67550]
AT5G03380,Heavy metal transport/detoxification superfamily protein [Source:TAIR;Acc:AT5G03380]
AT2G45180,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT2G45180]
AT5G01020,Serine/threonine-protein kinase At5g01020 [Source:UniProtKB/Swiss-Prot;Acc:Q8GXZ3]
AT3G48130,ribosomal protein L13 homolog [Source:TAIR;Acc:AT3G48130]
AT3G29670,Phenolic glucoside malonyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRQ8]
AT3G49070,UPF0496 protein At3g49070 [Source:UniProtKB/Swiss-Prot;Acc:Q9SMU4]
AT1G36980,unknown protein; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0220 (InterPro:IPR007919); Has 424 Blast hits to 424 proteins in 159 species: Archae - 0; Bacteria - 0; Metazoa - 228; Fungi - 120; Plants - 62; Viruses - 0; Other Eukary /.../ 14 (source: NCBI BLink). [Source:TAIR;Acc:AT1G36980]
AT3G27380,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8LBZ7]"
AT4G22610,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT4G22610]
AT3G27200,Cupredoxin superfamily protein [Source:TAIR;Acc:AT3G27200]
AT1G63800,Ubiquitin-conjugating enzyme E2 5 [Source:UniProtKB/Swiss-Prot;Acc:P42749]
AT3G58680,Multiprotein-bridging factor 1b [Source:UniProtKB/Swiss-Prot;Acc:Q9LXT3]
AT4G23680,Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:TAIR;Acc:AT4G23680]
AT1G75640,Leucine-rich receptor-like protein kinase family protein [Source:TAIR;Acc:AT1G75640]
AT3G13100,ABC transporter C family member 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK62]
AT3G43800,Glutathione S-transferase U27 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZG7]
AT4G00380,Factor of DNA methylation 2 [Source:UniProtKB/Swiss-Prot;Acc:F4JH53]
AT4G11660,Heat stress transcription factor B-2b [Source:UniProtKB/Swiss-Prot;Acc:Q9T0D3]
AT1G56550,"UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FXA7]"
AT4G25250,Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:TAIR;Acc:AT4G25250]
AT1G32440,"Plastidial pyruvate kinase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q93Z53]"
AT1G76470,NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT1G76470]
AT5G56550,oxidative stress 3 [Source:TAIR;Acc:AT5G56550]
AT1G04990,Zinc finger CCCH domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q94AD9]
AT5G56620,NAC domain containing protein 99 [Source:TAIR;Acc:AT5G56620]
AT4G00900,"Calcium-transporting ATPase 2, endoplasmic reticulum-type [Source:UniProtKB/Swiss-Prot;Acc:O23087]"
AT5G02500,Probable mediator of RNA polymerase II transcription subunit 37e [Source:UniProtKB/Swiss-Prot;Acc:P22953]
AT1G74310,Chaperone protein ClpB1 [Source:UniProtKB/Swiss-Prot;Acc:P42730]
AT4G22920,"Protein STAY-GREEN 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O82741]"
AT5G15870,glycosyl hydrolase family 81 protein [Source:TAIR;Acc:AT5G15870]
AT3G03290,Adenine nucleotide alpha hydrolases-like superfamily protein [Source:TAIR;Acc:AT3G03290]
AT4G23430,"Short-chain dehydrogenase TIC 32, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:A2RVM0]"
AT3G03640,Probable inactive beta-glucosidase 25 [Source:UniProtKB/Swiss-Prot;Acc:O82772]
AT1G13260,AP2/ERF and B3 domain-containing transcription factor RAV1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZWM9]
AT2G01580,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G07510.2); Has 129 Blast hits to 129 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 129; Viruses - 0; Other Eukaryotes - 0 (sou /.../CBI BLink). [Source:TAIR;Acc:AT2G01580]
AT1G05500,Synaptotagmin-5 [Source:UniProtKB/Swiss-Prot;Acc:Q8L706]
AT3G15260,Probable protein phosphatase 2C 39 [Source:UniProtKB/Swiss-Prot;Acc:Q9LDA7]
AT4G25760,Protein GLUTAMINE DUMPER 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SW07]
AT2G38010,Neutral ceramidase [Source:UniProtKB/Swiss-Prot;Acc:Q304B9]
AT4G40060,Homeobox-leucine zipper protein ATHB-16 [Source:UniProtKB/Swiss-Prot;Acc:Q940J1]
AT5G16240,"Acyl-[acyl-carrier-protein] desaturase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LF04]"
AT1G55810,Uridine kinase-like protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYB2]
AT1G02930,Glutathione S-transferase F6 [Source:UniProtKB/Swiss-Prot;Acc:P42760]
AT5G16490,CRIB domain-containing protein RIC4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFD5]
AT5G15630,COBRA-like protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LFW3]
AT2G46590,Dof zinc finger protein DOF2.5 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPY0]
AT4G29740,Cytokinin dehydrogenase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FUJ2]
AT3G55180,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT3G55180]
AT5G05435,other RNA [Source:TAIR;Acc:AT5G05435]
AT3G03650,Exostosin family protein [Source:TAIR;Acc:AT3G03650]
AT1G49860,Glutathione S-transferase F14 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6C8]
AT4G02810,Protein FANTASTIC FOUR 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SY06]
AT5G20280,Sucrose-phosphate synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q94BT0]
AT1G23120,Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:TAIR;Acc:AT1G23120]
AT4G37540,LOB domain-containing protein 39 [Source:UniProtKB/Swiss-Prot;Acc:Q9SZE8]
AT3G13080,ABC transporter C family member 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK64]
AT5G15650,UDP-arabinopyranose mutase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LFW1]
AT1G01900,Subtilisin-like protease SBT1.1 [Source:UniProtKB/Swiss-Prot;Acc:Q84WS0]
AT1G58520,CSC1-like protein RXW8 [Source:UniProtKB/Swiss-Prot;Acc:F4IBD7]
AT5G48070,Xyloglucan endotransglucosylase/hydrolase protein 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9FI31]
AT4G34490,Cyclase-associated protein 1 [Source:UniProtKB/Swiss-Prot;Acc:O65902]
AT3G26460,Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:TAIR;Acc:AT3G26460]
AT3G54366,Unknown gene [Source:TAIR;Acc:AT3G54366]
AT4G23330,BEST Arabidopsis thaliana protein match is: eukaryotic translation initiation factor 3A (TAIR:AT4G11420.1); Has 63 Blast hits to 55 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 62; Viruses - 0; Other Eukaryotes  /.../ource: NCBI BLink). [Source:TAIR;Acc:AT4G23330]
AT5G39670,Probable calcium-binding protein CML45 [Source:UniProtKB/Swiss-Prot;Acc:Q93Z27]
AT1G61590,Protein kinase superfamily protein [Source:TAIR;Acc:AT1G61590]
AT4G00570,"NAD-dependent malic enzyme 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8L7K9]"
AT5G47880,Eukaryotic peptide chain release factor subunit 1-1 [Source:UniProtKB/Swiss-Prot;Acc:Q39097]
AT1G32640,Transcription factor MYC2 [Source:UniProtKB/Swiss-Prot;Acc:Q39204]
AT4G13390,Proline-rich extensin-like family protein [Source:TAIR;Acc:AT4G13390]
AT4G26220,Probable caffeoyl-CoA O-methyltransferase At4g26220 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5D7]
AT3G61010,Ferritin/ribonucleotide reductase-like family protein [Source:TAIR;Acc:AT3G61010]
AT4G23690,Dirigent protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUQ8]
AT1G12010,1-aminocyclopropane-1-carboxylate oxidase 3 [Source:UniProtKB/Swiss-Prot;Acc:O65378]
AT5G62280,Protein of unknown function (DUF1442) [Source:TAIR;Acc:AT5G62280]
AT4G15215,pleiotropic drug resistance 13 [Source:TAIR;Acc:AT4G15215]
AT1G29860,Probable WRKY transcription factor 71 [Source:UniProtKB/Swiss-Prot;Acc:Q93WV4]
AT1G51640,exocyst subunit exo70 family protein G2 [Source:TAIR;Acc:AT1G51640]
AT1G12440,Zinc finger A20 and AN1 domain-containing stress-associated protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q6NNI8]
AT4G32360,"NADPH:adrenodoxin oxidoreductase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8W3L1]"
AT3G57520,Probable galactinol--sucrose galactosyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94A08]
AT2G43490,Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:TAIR;Acc:AT2G43490]
AT1G07590,"Pentatricopeptide repeat-containing protein At1g07590, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q940Q2]"
AT2G40460,Protein NRT1/ PTR FAMILY 5.1 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZR7]
AT2G39380,exocyst subunit exo70 family protein H2 [Source:TAIR;Acc:AT2G39380]
AT4G34710,Arginine decarboxylase 2 [Source:UniProtKB/Swiss-Prot;Acc:O23141]
AT3G47540,Chitinase family protein [Source:TAIR;Acc:AT3G47540]
AT1G66930,Protein kinase superfamily protein [Source:TAIR;Acc:AT1G66930]
AT5G63670,Transcription elongation factor SPT4 homolog 2 [Source:UniProtKB/Swiss-Prot;Acc:Q94C60]
AT2G28660,Chloroplast-targeted copper chaperone protein [Source:TAIR;Acc:AT2G28660]
AT1G05100,mitogen-activated protein kinase kinase kinase 18 [Source:TAIR;Acc:AT1G05100]
AT5G01220,Sulfoquinovosyl transferase SQD2 [Source:UniProtKB/Swiss-Prot;Acc:Q8S4F6]
AT1G22270,Multifunctional methyltransferase subunit TRM112-like protein At1g22270 [Source:UniProtKB/Swiss-Prot;Acc:Q8LFJ5]
AT5G58500,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGH2]
AT5G22630,"Arogenate dehydratase 5, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FNJ8]"
AT1G11580,Pectinesterase/pectinesterase inhibitor 18 [Source:UniProtKB/Swiss-Prot;Acc:Q1JPL7]
AT1G49660,Probable carboxylesterase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FX94]
AT5G19120,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT5G19120]
AT1G07220,Arabidopsis thaliana protein of unknown function (DUF821) [Source:TAIR;Acc:AT1G07220]
AT4G36880,cysteine proteinase1 [Source:TAIR;Acc:AT4G36880]
AT4G02150,Importin subunit alpha-3 [Source:UniProtKB/Swiss-Prot;Acc:O04294]
AT1G24150,formin homologue 4 [Source:TAIR;Acc:AT1G24150]
AT4G19460,UDP-Glycosyltransferase superfamily protein [Source:TAIR;Acc:AT4G19460]
AT5G44750,DNA repair protein REV1 [Source:UniProtKB/Swiss-Prot;Acc:A3EWL3]
AT2G26790,"Pentatricopeptide repeat-containing protein At2g26790, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O81028]"
AT2G45820,Remorin [Source:UniProtKB/Swiss-Prot;Acc:O80837]
AT3G53200,myb domain protein 27 [Source:TAIR;Acc:AT3G53200]
AT5G66080,Probable protein phosphatase 2C 79 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKX4]
AT1G56210,Heavy metal transport/detoxification superfamily protein [Source:TAIR;Acc:AT1G56210]
AT2G15490,UDP-glycosyltransferase 73B4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y232]
AT2G26480,UDP-glycosyltransferase 76D1 [Source:UniProtKB/Swiss-Prot;Acc:O48715]
AT5G43520,Cysteine/Histidine-rich C1 domain family protein [Source:TAIR;Acc:AT5G43520]
AT3G49580,response to low sulfur 1 [Source:TAIR;Acc:AT3G49580]
AT4G02550,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02210.2); Has 350 Blast hits to 284 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 13; Plants - 331; Viruses - 0; Other Eukaryotes - 6 (so /.../NCBI BLink). [Source:TAIR;Acc:AT4G02550]
AT4G05020,"External alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q94BV7]"
AT3G53980,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT3G53980]
AT5G48090,EDM2-like protein1 [Source:TAIR;Acc:AT5G48090]
AT5G56350,Pyruvate kinase family protein [Source:TAIR;Acc:AT5G56350]
AT4G33810,Glycosyl hydrolase superfamily protein [Source:TAIR;Acc:AT4G33810]
AT1G13370,Histone H3-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FX60]
AT5G56150,Ubiquitin-conjugating enzyme E2 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKT3]
AT4G29140,MATE efflux family protein [Source:TAIR;Acc:AT4G29140]
AT2G16850,Probable aquaporin PIP2-8 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVX8]
AT1G23170,"Protein of unknown function DUF2359, transmembrane [Source:TAIR;Acc:AT1G23170]"
AT1G48300,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 96 Blast hits to 87 proteins in 37 specie /.../hae - 0; Bacteria - 2; Metazoa - 12; Fungi - 2; Plants - 65; Viruses - 0; Other Eukaryotes - 15 (source: NCBI BLink). [Source:TAIR;Acc:AT1G48300]
AT5G10170,Probable inositol 3-phosphate synthase isozyme 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LX12]
AT4G33330,UDP-glucuronate:xylan alpha-glucuronosyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWW4]
AT3G59080,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT3G59080]
AT1G51540,Galactose oxidase/kelch repeat superfamily protein [Source:TAIR;Acc:AT1G51540]
AT3G51910,Heat stress transcription factor A-7a [Source:UniProtKB/Swiss-Prot;Acc:Q9SV12]
AT5G16110,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown p /.../ (TAIR:AT3G02555.1); Has 133 Blast hits to 133 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 133; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G16110]
AT3G28450,Leucine-rich repeat protein kinase family protein [Source:TAIR;Acc:AT3G28450]
AT2G23960,Class I glutamine amidotransferase-like superfamily protein [Source:TAIR;Acc:AT2G23960]
AT5G07370,Inositol polyphosphate multikinase alpha [Source:UniProtKB/Swiss-Prot;Acc:Q9LY23]
AT3G55410,"2-oxoglutarate dehydrogenase, E1 component [Source:TAIR;Acc:AT3G55410]"
AT3G12720,myb domain protein 67 [Source:TAIR;Acc:AT3G12720]
AT4G26200,1-aminocyclopropane-1-carboxylate synthase 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9STR4]
AT5G51740,Peptidase family M48 family protein [Source:TAIR;Acc:AT5G51740]
AT5G27600,"Long chain acyl-CoA synthetase 7, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q8LKS5]"
AT5G34940,Heparanase-like protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZP1]
AT3G51600,Non-specific lipid-transfer protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9XFS7]
AT3G13930,"Dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8RWN9]"
AT2G48030,DNAse I-like superfamily protein [Source:TAIR;Acc:AT2G48030]
AT1G78110,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 7 growth stages; BEST Arabidopsis thaliana protein match is: unknow /.../ein (TAIR:AT1G22230.1); Has 5452 Blast hits to 3541 proteins in 289 species: Archae - 4; Bacteria - 165; Metazoa - 1756; Fungi - 532; Plants - 205; Viruses - 141; Other Eukaryotes - 2649 (source: NCBI BLink). [Source:TAIR;Acc:AT1G78110]
AT1G43020,"Protein of unknown function, DUF547 [Source:TAIR;Acc:AT1G43020]"
AT3G04520,Probable low-specificity L-threonine aldolase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPH3]
AT1G15500,"ADP,ATP carrier protein 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92935]"
AT3G01970,Probable WRKY transcription factor 45 [Source:UniProtKB/Swiss-Prot;Acc:Q9S763]
AT3G24500,Multiprotein-bridging factor 1c [Source:UniProtKB/Swiss-Prot;Acc:Q9LV58]
AT1G33320,Probable cystathionine gamma-synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9C876]
AT1G20693,High mobility group B protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O49596]
AT1G20850,Xylem cysteine proteinase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LM66]
AT5G51970,Sorbitol dehydrogenase [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ95]
AT4G29905,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G57123.1); Has 73 Blast hits to 73 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 73; Viruses - 0; Other Eukaryotes - 0 (source /.../ BLink). [Source:TAIR;Acc:AT4G29905]
AT3G21690,MATE efflux family protein [Source:TAIR;Acc:AT3G21690]
AT3G27340,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: oxidation reduction; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Gamma-butyrobetaine dioxygenase/Trimethyllysine dioxygenase, N-terminal (I /.../o:IPR010376); Has 1035 Blast hits to 1035 proteins in 399 species: Archae - 0; Bacteria - 765; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 231 (source: NCBI BLink). [Source:TAIR;Acc:AT3G27340]"
AT1G07660,Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P59259]
AT3G54010,Peptidyl-prolyl cis-trans isomerase PASTICCINO1 [Source:UniProtKB/Swiss-Prot;Acc:Q7DMA9]
AT5G51680,hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT5G51680]
AT2G06925,Phospholipase A2-alpha [Source:UniProtKB/Swiss-Prot;Acc:Q8S8N6]
AT1G23860,Serine/arginine-rich splicing factor RSZ21 [Source:UniProtKB/Swiss-Prot;Acc:O81127]
AT1G53633,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 3; Vi /.../- 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G53633]
